0,10840,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|II·CAMILI|/|MELISSI|,CAMILIMELISSI,
1,10841,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|CAMILI|/|SILVESTRI|,CAMILISILVESTRI,
2,10842,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|IIIVN''/|MELISSI|,LIVNIMELISSI,
3,10843,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|II·IVN·M^ELISSI|/|ET·MELISSE((hedera))|,LIVNIMELISSI,
4,10844,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,[III]VNM^ELISSI|/|ETMELISSI|,LIVNIMELISSI,
5,10845,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|IIMELISI|,LIVNIMELISSI,
6,10846,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,[FS]CIM''/[NI]ANI,FSCIMNIANO,
7,10847,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|FSCI[M]/|NIAN[I],FSCIMNIANO,
8,10848,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|FSCIM|/|NIANI|,FSCIMNIANO,
9,10849,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,+LI{C·}|,,
10,10850,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|P··S·AVI^T^I|,PSAVITI,
11,10851,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|P·S·A^V^I^T^I|,PSAVITI,
12,10852,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|P·S·A^V^I^T^I|,PSAVITI,
13,10853,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|P'(-)SA^T| & |P'(-)ST^A|,,
14,10854,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|FEL+,FEL ,
15,10855,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|P·S·T^VSC|,PSTVSC,
16,10856,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|IVCV{N/DI}|,IVCVNDI,
17,10857,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,|IVCVN^D^I|,IVCVNDI,
18,10859,Dressel 20,Las Delicias,Écija,Spain,37.585951,-5.088429,IVNMELISSIETMELISSE,LIVNIMELISI,
19,10860,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|M·FS!|,MFS,
20,10861,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|M·F![S],MFS,
21,10862,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|M·FS|,MFS,
22,10863,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|M'·FS|,MFS,
23,10864,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|M[F]S|,MFS,
24,10865,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|M·F'S<|,MFS,
25,10866,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|M''F''S'|,MFS,
26,10867,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|LFCARES|,LFC,
27,10868,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|LFC|,LFC,
28,10869,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|L(-)FC|, bis impressum est,LFC
29,10870,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,[M]FC|,LFC,
30,10871,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|LF!C|,LFC,
31,10872,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|LFC((palma))|,LFC,
32,10873,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|[M]F!C,,
33,10874,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|LFC·CN| & |LFC·CA^N|,LFC,
34,10875,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|COF[-]+,,
35,10876,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|LACON^E| & |LACON^F|,,
36,10877,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,[LF]CA·RE^S| & [LF]CA·RS^E|,LFC,
37,10878,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|Q[-]·FC+,,
38,10879,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|CS^IV^AASF'CA|,CSIVAASFCA,
39,10880,Dressel 20,Alcotrista,Écija,Spain,37.614189,-5.115609,|CCCOV|,,
40,10882,Dressel 20,San Rafael,Écija,Spain,37.614189,-5.115609,|L'·F·C|,LFC,
41,10883,Dressel 20,Isla del Castillo,Écija,Spain,37.621484,-5.134134,|M·I·M|,MIM,
42,10884,Dressel 20,Isla del Castillo,Écija,Spain,37.621484,-5.134134,M·I·M|,MIM,
43,10885,Dressel 20,Isla del Castillo,Écija,Spain,37.621484,-5.134134,|M·I·M|,MIM,
44,10886,Dressel 20,Isla del Castillo,Écija,Spain,37.621484,-5.134134,|L·A·GER|,LAVRELIGERMANI,
45,10887,Dressel 20,Isla del Castillo,Écija,Spain,37.621484,-5.134134,|L·A·GER|,LAVRELIGERMANI,
46,10888,Dressel 20,Isla del Castillo,Écija,Spain,37.621484,-5.134134,|L·A·GER|,LAVRELIGERMANI,
47,10889,Dressel 20,Isla del Castillo,Écija,Spain,37.621484,-5.134134,|L·A+,,
