AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,,,,,,,,,
14210,14210,Dressel 20,Bad Cannstatt,Sttutgart-Bad Cannstatt,48.805827,9.241809,[M]M''C·S·A^N^T^O|,MMCSANTO?,,El Tejarillo,,,,,,,,,
14256,14256,Dressel 20,Bad Cannstatt,"1897, an dem Altenburger Feld",48.805827,9.241809,"IIIENNIIVL, sine imagine",IIIENNIIVL,,huerta del río,,,,,,,,,
14294,14294,Dressel 20,Bad Cannstatt,Bad Cannstatt,48.805827,9.241809,"LFFCV, sine imagine",LFCCV?,,Dehesilla,,,,,,,,,
14298,14298,Dressel 20,Bad Cannstatt,Bad Cannstatt,48.805827,9.241809,|LFCCVFC|,LFCCVFC,,,,,,,,,,,
14378,14378,Dressel 20,Bad Cannstatt,Sttutgart-Bad Cannstatt,48.805827,9.241809,|M·F!S'|,MFS,,Alcotrista,,,,,,,,,
14500,14500,Dressel 20,Bad Cannstatt,Sttutgart-Bad Cannstatt,48.805827,9.241809,[QI]M·F!S!|,QIMFS?,,,,,,,,,,,
14520,14520,Dressel 20,Bad Cannstatt,Sttutgart-Bad Cannstatt,48.805827,9.241809,|L·I·T|,LIT,,,,,,,,,,,
14598,14598,Dressel 20,Bad Cannstatt,Sttutgart-Bad Cannstatt,48.805827,9.241809,|A·L·F·O|,ALFO & ALFQ,,La Catria,,,,,,,,,
14674,14674,Dressel 20,Bad Cannstatt,Sttutgart-Bad Cannstatt,48.805827,9.241809,|QNDAND,QNDAND,,,,,,,,,,,
14714,14714,Dressel 20,Bad Cannstatt,Grube 9,48.805827,9.241809,|DOMS|,DOMS,,Alcolea del Río,,,,,,,,,
14750,14750,Dressel 20,Bad Cannstatt,Stuttgart-Bad Cannstatt,48.805827,9.241809,|AP((amphora))CO| & |AP((amphora))[Q]CO|,APCO & APQCO,,La María,,,,,,,,,
14774,14774,Dressel 20,Bad Cannstatt,auf dem Acker beim Judenfriedhof.,48.805827,9.241809,[QPP]H^RYX|,QPPHRYX,,,,,,,,,,,
