id,lat,long,type,site,code,place
18746,54.966667,-2.333333,Dressel 20,Bardon Mill,GRA,Britania
18747,54.966667,-2.333333,Dressel 20,Bardon Mill,LI,Britania
18748,54.966667,-2.333333,Dressel 20,Bardon Mill,MFA,Britania
18750,54.966667,-2.333333,Dressel 20,Bardon Mill,QIFCOX,Britania
20439,54.966667,-2.333333,Dressel 20,Bardon Mill,AGRICOLAE,Britania
20440,54.966667,-2.333333,Dressel 20,Bardon Mill,LCFPCE,Britania
20441,54.966667,-2.333333,Dressel 20,Bardon Mill,GENETIV,Britania
20442,54.966667,-2.333333,Dressel 20,Bardon Mill,HISPSAENICORONA,Britania
20443,54.966667,-2.333333,Dressel 20,Bardon Mill,IVLTEREN,Britania
20444,54.966667,-2.333333,Dressel 20,Bardon Mill,MV,Britania
20445,54.966667,-2.333333,Dressel 20,Bardon Mill,QMMCER,Britania
20446,54.966667,-2.333333,Dressel 20,Bardon Mill,CSTERPAVLLINI,Britania
20447,54.966667,-2.333333,Dressel 20,Bardon Mill,PVALFAVSSCOR,Britania
20448,54.966667,-2.333333,Dressel 20,Bardon Mill,GQ,Britania
20449,54.966667,-2.333333,Dressel 20,Bardon Mill,MAEME,Britania
20450,54.966667,-2.333333,Dressel 20,Bardon Mill,SAXOFERSAXFER,Britania
20451,54.966667,-2.333333,Dressel 20,Bardon Mill,OO,Britania
32250,54.966667,-2.333333,Dressel 20,Bardon Mill,AEMILIORVMETCASSIORVM,Britania
32250,54.966667,-2.333333,Dressel 20,Bardon Mill,CIII,Britania
32250,54.966667,-2.333333,Dressel 20,Bardon Mill,LEONTINIAAAACCXXSEREN,Britania
32250,54.966667,-2.333333,Dressel 20,Bardon Mill,VLXXVI,Britania
32251,54.966667,-2.333333,Dressel 20,Bardon Mill,CXC,Britania
32252,54.966667,-2.333333,Dressel 20,Bardon Mill,CCVVVI,Britania
32253,54.966667,-2.333333,Dressel 20,Bardon Mill,MONTANI,Britania
33382,54.966667,-2.333333,Dressel 20,Bardon Mill,APAMPHORA,Britania
33383,54.966667,-2.333333,Dressel 20,Bardon Mill,APN,Britania
33384,54.966667,-2.333333,Dressel 20,Bardon Mill,CANTQ,Britania
33385,54.966667,-2.333333,Dressel 20,Bardon Mill,FSCIMNIANO,Britania
33386,54.966667,-2.333333,Dressel 20,Bardon Mill,IIAVRHERACLAEPATETFILIFBAR,Britania
33387,54.966667,-2.333333,Dressel 20,Bardon Mill,IIIAVRHERACLAEPATETFILFBAR,Britania
33388,54.966667,-2.333333,Dressel 20,Bardon Mill,IIIENNIORIVLSAE,Britania
33389,54.966667,-2.333333,Dressel 20,Bardon Mill,LAFP,Britania
33390,54.966667,-2.333333,Dressel 20,Bardon Mill,LQA,Britania
33391,54.966667,-2.333333,Dressel 20,Bardon Mill,LQSC,Britania
33392,54.966667,-2.333333,Dressel 20,Bardon Mill,MCLSH,Britania
