,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionDateStartYear,ProductionDateEndYear,ProductionPlaceTitle,CountryTitle
,16697,Dressel 20,Aldborough,Aldborough,54.083333,-1.383333,"RIVs, sine imagine",RIVS,,,,,United Kingdom
,17035,Dressel 20,Aldborough,Aldborough,54.083333,-1.383333,"QVS, sine imagine",QVS,,,,,United Kingdom
,20494,Dressel 20,Aldborough,Aldborough,54.083333,-1.383333,[L]CFP|,LCFP,,,,,United Kingdom
,16376,Dressel 20,Ambleside,Ambleside,54.416667,-2.966667,"QMR, sine imagine",QMR,,,,,United Kingdom
,15668,Dressel 20,Ardoch house,Ardoch,56.25,-3.866667,"DATSCOL, sine imagine",DATSCOL,,,,Azanaque-Castillejo,United Kingdom
,16445,Dressel 20,Ardoch house,Ardoch,56.25,-3.866667,"IN, sine imagine",IN,,142,165,,United Kingdom
,16530,Dressel 20,Ardoch house,Ardoch,56.25,-3.866667,"DOMS, sine imagine",DOMS,,,,Alcolea del Río,United Kingdom
,15447,Dressel 20,Bardon Mill,Période VI,54.966667,-2.333333,|TA'N''P''*,TANP,,140,160,El Marchante,United Kingdom
,15505,Dressel 20,Bardon Mill,"VR 46, période VI",54.966667,-2.333333,[A]CIRGI|,ACIRGI,,180,300,Itálica,United Kingdom
,15601,Dressel 20,Bardon Mill,"VR 46, période VI",54.966667,-2.333333,|CA^N^T·QVIET^I''|,CANTQVIETI,,,,,United Kingdom
,15757,Dressel 20,Bardon Mill,"VJ 51, période V",54.966667,-2.333333,|L·C·F·((signum))*,LCF,,,,Cortijo del Romero,United Kingdom
,15872,Dressel 20,Bardon Mill,Unstratified,54.966667,-2.333333,+EL|,...EL,,,,,United Kingdom
,16263,Dressel 20,Bardon Mill,Période VII,54.966667,-2.333333,[L·IV]NI·M|/[MELI]SI[·P],LIVNIMMELISSIP,,,,,United Kingdom
,16380,Dressel 20,Bardon Mill,Hors stratigraphie - Period 6 construction,54.966667,-2.333333,|QMR|,QMR,,,,,United Kingdom
,16689,Dressel 20,Bardon Mill,Période VI,54.966667,-2.333333,|GRA|/|DOS''|,GRADOS,,140,160,Peñaflor,United Kingdom
,16794,Dressel 20,Bardon Mill,"VS 123, période III",54.966667,-2.333333,|Q·S·P|,QSP,,90,90,,United Kingdom
,17072,Dressel 20,Bardon Mill,"VT 51, période VI",54.966667,-2.333333,[L]V^BC|,|LVBC|,,,,,United Kingdom
,18686,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,|NIII| & |IIIN|,NIII & IIIN,,,,Arva,United Kingdom
,18687,Dressel 20,Bardon Mill,"VF 60, période VII (212-300)",54.966667,-2.333333,|ACIRGI|,ACIRGI,,,,Itálica,United Kingdom
,18688,Dressel 20,Bardon Mill,"VJ 58, période VI (160-180)",54.966667,-2.333333,|PA^N'R|,PANR,,160,180,La Catria,United Kingdom
,18689,Dressel 20,Bardon Mill,Période III (85-105),54.966667,-2.333333,|CA^N[^T]Q'VI'[ETI],CANTQVIETI,,85,105,,United Kingdom
,18690,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|CA^N^TQVI[^ETI],CANTQVIETI,,212,300,,United Kingdom
,18691,Dressel 20,Bardon Mill,Hors stratigraphie,54.966667,-2.333333,"CANTQ, sine imagine",CANTQ,,,,,United Kingdom
,18692,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|PA^RV''[A],PARVA,,212,300,La Catria,United Kingdom
,18693,Dressel 20,Bardon Mill,"VR 46, période VI (160-180)",54.966667,-2.333333,|LAV''GER^N''|,LAVGERN,,160,180,,United Kingdom
