id,name
0,Parlamento
1,Villar de Brenes
2,Guadajoz
3,Adelfa
4,Las Delicias
5,Villar Tesoro
6,Mejía
7,Alcotrista
8,El Tejarillo
9,Azanaque-Castillejo
10,Isla del Castillo
11,Arva
12,Cortijo del Alamo Alto
13,El Marchante
14,Àlamo Alto
15,Doña Mencia
16,El Tesorillo de Doña Mencia
17,La Catria
18,Tarancón Oeste
19,Las Valbuenas
20,Cortijo del Guerra
21,Huerta del Río
22,Cortijo de La Sesenta
23,La María
24,Tierras del Judío
25,Malpica
26,La Mayena
27,Malpica Sur
28,Madueño
29,Casas del Picón
30,Huertas de Belén
31,Cerro de los Pesebres
32,Villacisneros
33,La Dehesilla
34,Picachos
35,Barranco del Picacho
36,Casa del Encinarejo
37,Cortijo de Romero
38,La Corregidora
39,La Estrella
40,La Umbría de Moratalla
41,Villaseca
42,Mingaobez
43,Dehesa de Arriba
44,El Temple (Este)
45,El Temple
