AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,LocationTypeTitle
16860,16860,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,SAXOFERR'[O],SAXOFERREO,,Arva,Military Camp
16860,16860,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,SAXOFERR'[O],SAXOFERREO,,Huerta de Belén,Military Camp
16862,16862,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,S'AXOFERO|,SAXOFERREO,,Arva,Military Camp
16862,16862,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,S'AXOFERO|,SAXOFERREO,,Huerta de Belén,Military Camp
16908,16908,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,|FSCIMN^IA|,FSCIMNIA & FSCIMNIANO,,Las Delicias,Military Camp
16919,16919,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,|FS'[CIM]/|N[IOANO],FSCIMNIANO,,Las Delicias,Military Camp
16923,16923,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,|F((hedera))SCIM/NIANO|,FSCIMNIANO,,Las Delicias,Military Camp
16940,16940,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,L''S^ELS^ENCI|,LSELSENCI,,La Rambla y El Acebuchal,Military Camp
16950,16950,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,|C·SEMPOL,CSEMPOL,,,Military Camp
17060,17060,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,|L·V^A^LV^I^T|,LVALVIT,,,Military Camp
17092,17092,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,|V'RCIN|,VIRGIN (VIRCIN),,Villar de Brenes,Military Camp
17119,17119,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,|C(--)R|,C...R,,,Military Camp
17141,17141,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,"M(--)S, sine imagine",M...S,,,Military Camp
17153,17153,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,|Q·+,Q...,,,Military Camp
17180,17180,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,+ASP((hedera))|,...ASP,,,Military Camp
17218,17218,Dressel 20,Cirencester,Cirencester,51.733333,-1.983333,+SA·T|,...SAT,,,Military Camp
15433,15433,Dressel 20,Colchester,Colchester,51.883333,0.9,|SALS|,SALS,,Arva,Military Camp
15439,15439,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·A·M|,LAM,,,Military Camp
15441,15441,Dressel 20,Colchester,Colchester,51.883333,0.9,|SAMI'S|,SAMIS,,,Military Camp
15442,15442,Dressel 20,Colchester,Colchester,51.883333,0.9,[SA]MIS|,SAMIS,,,Military Camp
15452,15452,Dressel 20,Colchester,Colchester,51.883333,0.9,|L'·A·R|,LAR?,,,Military Camp
15459,15459,Dressel 20,Colchester,Colchester,51.883333,0.9,PORLAR|,PORLAR,,La Catria,Military Camp
15472,15472,Dressel 20,Colchester,Colchester,51.883333,0.9,|MAR|,MAR,,Itálica,Military Camp
15489,15489,Dressel 20,Colchester,Colchester,51.883333,0.9,|ACIRGI|,ACIRGI (ACIRCI),,Itálica,Military Camp
15512,15512,Dressel 20,Colchester,Colchester,51.883333,0.9,|ACIR''G+,ACIRG (ACIRC),,La Catria,Military Camp
15516,15516,Dressel 20,Colchester,Colchester,51.883333,0.9,M^A^EA^L^EX|,MAEALEX,,,Military Camp
15530,15530,Dressel 20,Colchester,Colchester,51.883333,0.9,"MAEMRVS, sine imagine",MAEMRVS,,Arva,Military Camp
15536,15536,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·AEMI{LI}|/|RV~S~T[--]|,LAEMILIRVST,,,Military Camp
15537,15537,Dressel 20,Colchester,Colchester,51.883333,0.9,"AFGRISSVS, sine imagine",AFGRISSVS,,,Military Camp
15548,15548,Dressel 20,Colchester,Colchester,51.883333,0.9,|AGRIC~OLA[E],AGRICOLAE,,Casa de Mingaobez,Military Camp
15561,15561,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·A^NN^ISEC|,LANNISEC,,,Military Camp
15564,15564,Dressel 20,Colchester,Colchester,51.883333,0.9,|ANT^H^I|,ANTHI,,,Military Camp
15567,15567,Dressel 20,Colchester,Colchester,51.883333,0.9,"CANTONIQVIETI, sine imagine",CANTONIQVIETI,,Alcolea del Río,Military Camp
15569,15569,Dressel 20,Colchester,Colchester,51.883333,0.9,|G·AN^TON^IQVI^ET^I|,CANTONIQVIETI (GANTONIQVIETI),,Alcolea del Río,Military Camp
15584,15584,Dressel 20,Colchester,Colchester,51.883333,0.9,|GA^N^TQ'V'[I^]E'T'[^I],GANTQVIETI,,,Military Camp
15597,15597,Dressel 20,Colchester,Colchester,51.883333,0.9,|C·A^N^T·QVIT|,CANTQVIT,,,Military Camp
15630,15630,Dressel 20,Colchester,Colchester,51.883333,0.9,C·A^P·[F]|,CAPF,,Castillo de Azanaque,Military Camp
15636,15636,Dressel 20,Colchester,Colchester,51.883333,0.9,|P·A^RVA|,PARVA,,La Catria,Military Camp
15645,15645,Dressel 20,Colchester,Colchester,51.883333,0.9,|TATIL'·ASIA^TICI'|,TATILIASIATICI,,Adelfa,Military Camp
15645,15645,Dressel 20,Colchester,Colchester,51.883333,0.9,|TATIL'·ASIA^TICI'|,TATILIASIATICI,,Guadajoz,Military Camp
15645,15645,Dressel 20,Colchester,Colchester,51.883333,0.9,|TATIL'·ASIA^TICI'|,TATILIASIATICI,,Juan Barba,Military Camp
15651,15651,Dressel 20,Colchester,Colchester,51.883333,0.9,|TAAT^I'A^T^I'C^I|,TAATIATICI,,,Military Camp
15678,15678,Dressel 20,Colchester,Colchester,51.883333,0.9,"[IIAVR]HERACLA^E/[PATET]F[IL]BAR, sine imagine",IIAVRHERACLAEPATETFILFBAR,,,Military Camp
15706,15706,Dressel 20,Colchester,Colchester,51.883333,0.9,|LCA^N^T|,LCANT,,,Military Camp
15713,15713,Dressel 20,Colchester,Colchester,51.883333,0.9,"MCC, sine imagine",MCC,,Cerro de los Pesebres,Military Camp
15713,15713,Dressel 20,Colchester,Colchester,51.883333,0.9,"MCC, sine imagine",MCC,,Madueño,Military Camp
15731,15731,Dressel 20,Colchester,Colchester,51.883333,0.9,|Q·C(-)C·|,QCC,,Las Sesenta,Military Camp
15746,15746,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·C·F·PC·|,LCFPC,,,Military Camp
15760,15760,Dressel 20,Colchester,Colchester,51.883333,0.9,P'C'H'O',PCHO?,,La Graja,Military Camp
15780,15780,Dressel 20,Colchester,Colchester,51.883333,0.9,Q'·CR'|,QCR,,Sevilla,Military Camp
15793,15793,Dressel 20,Colchester,Colchester,51.883333,0.9,|QCR|,QCR,,Sevilla,Military Camp
15848,15848,Dressel 20,Colchester,Colchester,51.883333,0.9,|IIC'A~MILI|/|MELISSI|,IICAMILIMELISSI,,Arva,Military Camp
15848,15848,Dressel 20,Colchester,Colchester,51.883333,0.9,|IIC'A~MILI|/|MELISSI|,IICAMILIMELISSI,,Las Delicias,Military Camp
15857,15857,Dressel 20,Colchester,Colchester,51.883333,0.9,|C·I'VNCT^IN| & |C·I'VNCI^T^IN|,CIVNCTIN? & CIVNCITIN?,,,Military Camp
15862,15862,Dressel 20,Colchester,Colchester,51.883333,0.9,MCLSP|,MCLSP,,,Military Camp
15863,15863,Dressel 20,Colchester,Colchester,51.883333,0.9,|S·C·L·C|,SCLC,,Doña Mencía,Military Camp
15884,15884,Dressel 20,Colchester,Colchester,51.883333,0.9,"GRVM, sine imagine",GRVM,,,Military Camp
15885,15885,Dressel 20,Colchester,Colchester,51.883333,0.9,"PORD, sine imagine",PORD,,,Military Camp
15888,15888,Dressel 20,Colchester,Colchester,51.883333,0.9,|CEC|,CEC,,,Military Camp
15908,15908,Dressel 20,Colchester,Colchester,51.883333,0.9,FIGE{DO<<}/[P]P'AE'F',FIGEDOPPAEF,,,Military Camp
15909,15909,Dressel 20,Colchester,Colchester,51.883333,0.9,FIGE'DOP'P'/[A^EFV]SCIA^N[I],FIGEDOPPAEFVSCIANI,,La Corregidora,Military Camp
15947,15947,Dressel 20,Colchester,Colchester,51.883333,0.9,|Q·FA^L^B''| & |Q·FA^P''|,QFALB & QFAP,,,Military Camp
15953,15953,Dressel 20,Colchester,Colchester,51.883333,0.9,|C·F·AV·|,CFAV,,,Military Camp
15970,15970,Dressel 20,Colchester,Colchester,51.883333,0.9,"LFCL, sine imagine",LFCL,,,Military Camp
16013,16013,Dressel 20,Colchester,Colchester,51.883333,0.9,|DFN|,DFN,,Arva,Military Camp
16013,16013,Dressel 20,Colchester,Colchester,51.883333,0.9,|DFN|,DFN,,El Tejarillo,Military Camp
16020,16020,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·F·S|,LFS,,Berro II,Military Camp
16022,16022,Dressel 20,Colchester,Colchester,51.883333,0.9,|POR'F'S'|,PORFS,,Lora la Vieja,Military Camp
16023,16023,Dressel 20,Colchester,Colchester,51.883333,0.9,|POR·L·F·S|,PORLFS,,La Catria,Military Camp
16025,16025,Dressel 20,Colchester,Colchester,51.883333,0.9,|PORLFS|,PORLFS,,La Catria,Military Camp
16026,16026,Dressel 20,Colchester,Colchester,51.883333,0.9,|POR'L'·F·S<|,PORLFS,,La Catria,Military Camp
16028,16028,Dressel 20,Colchester,Colchester,51.883333,0.9,|POR·L·F·S|,PORLFS,,La Catria,Military Camp
16033,16033,Dressel 20,Colchester,Colchester,51.883333,0.9,|CF'VA+,CFVA...,,,Military Camp
16037,16037,Dressel 20,Colchester,Colchester,51.883333,0.9,|FEL'I'CIS|,FELICIS,,Las Delicias,Military Camp
16044,16044,Dressel 20,Colchester,Colchester,51.883333,0.9,|QFRM^E|,QFRME,,La María,Military Camp
16045,16045,Dressel 20,Colchester,Colchester,51.883333,0.9,"FFVTI, sine imagine",FFVTI,,,Military Camp
16051,16051,Dressel 20,Colchester,Colchester,51.883333,0.9,|P^H^I^LO|,PHILO,,,Military Camp
16052,16052,Dressel 20,Colchester,Colchester,51.883333,0.9,P^H^I^LO|,...PHILO,,,Military Camp
16057,16057,Dressel 20,Colchester,Colchester,51.883333,0.9,MHAS,MHAS,,Arva,Military Camp
16088,16088,Dressel 20,Colchester,Colchester,51.883333,0.9,|QIAFS|,QIAFS,,Malpica,Military Camp
16103,16103,Dressel 20,Colchester,Colchester,51.883333,0.9,+A^LB|,...ALB,,,Military Camp
16111,16111,Dressel 20,Colchester,Colchester,51.883333,0.9,"CIALB, sine imagine",CIALB (GIALB),,Malpica,Military Camp
16128,16128,Dressel 20,Colchester,Colchester,51.883333,0.9,|MIM|,MIM,,La Catria,Military Camp
16128,16128,Dressel 20,Colchester,Colchester,51.883333,0.9,|MIM|,MIM,,Peñaflor,Military Camp
16131,16131,Dressel 20,Colchester,Colchester,51.883333,0.9,|M·I·M|,MIM,,La Catria,Military Camp
16131,16131,Dressel 20,Colchester,Colchester,51.883333,0.9,|M·I·M|,MIM,,Peñaflor,Military Camp
16136,16136,Dressel 20,Colchester,Colchester,51.883333,0.9,|MIM|,MIM,,La Catria,Military Camp
16136,16136,Dressel 20,Colchester,Colchester,51.883333,0.9,|MIM|,MIM,,Peñaflor,Military Camp
16137,16137,Dressel 20,Colchester,Colchester,51.883333,0.9,|MIM+,MIM...,,La Catria,Military Camp
16137,16137,Dressel 20,Colchester,Colchester,51.883333,0.9,|MIM+,MIM...,,Peñaflor,Military Camp
16164,16164,Dressel 20,Colchester,Colchester,51.883333,0.9,|Q'IM!F!|,QIMF,,El Judío,Military Camp
16175,16175,Dressel 20,Colchester,Colchester,51.883333,0.9,|C·IR'|,CIR,,,Military Camp
16186,16186,Dressel 20,Colchester,Colchester,51.883333,0.9,|Ais|,AIS,,Sevilla,Military Camp
16190,16190,Dressel 20,Colchester,Colchester,51.883333,0.9,|SIS^EN,SISEN,,La Catria,Military Camp
16191,16191,Dressel 20,Colchester,Colchester,51.883333,0.9,|SIS[^E]N,SISEN,,La Catria,Military Camp
16192,16192,Dressel 20,Colchester,Colchester,51.883333,0.9,|SI+,SI...,,,Military Camp
16240,16240,Dressel 20,Colchester,Colchester,51.883333,0.9,LIVN'IM'/[E]LIS·SI,LIVNIMELISSI,,Arva,Military Camp
16249,16249,Dressel 20,Colchester,Colchester,51.883333,0.9,"IIIVNIMELISSETMELISSE, sine imagine",IIIVNIMELISSETMELISSE,,Itálica,Military Camp
16283,16283,Dressel 20,Colchester,Colchester,51.883333,0.9,+I^V^NI·M|/+ISSI·P'|,...IVNIM...ISSIP,,,Military Camp
16284,16284,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·IVNI·M/|ELISSI+,LIVNIMELISSI,,Las Delicias,Military Camp
16292,16292,Dressel 20,Colchester,Colchester,51.883333,0.9,+ISSI|/+SE((hedera))|,...ISSI...SE,,,Military Camp
16300,16300,Dressel 20,Colchester,Colchester,51.883333,0.9,|IIIVN^I+/|ETM+,IIIVNI...ETM...,,Itálica,Military Camp
16329,16329,Dressel 20,Colchester,Colchester,51.883333,0.9,|GLPVD^E|,CLPVDE (GLPVDE),,,Military Camp
16337,16337,Dressel 20,Colchester,Colchester,51.883333,0.9,|S·LT·SAXFERR|,SLTSAXFERR,,,Military Camp
16338,16338,Dressel 20,Colchester,Colchester,51.883333,0.9,|S·L·T·SAXFER'R'+,SLTSAXFERR...,,,Military Camp
16349,16349,Dressel 20,Colchester,Colchester,51.883333,0.9,|Q·M·C~AL|,QMCAL,,,Military Camp
16431,16431,Dressel 20,Colchester,Colchester,51.883333,0.9,|IIIM'INICIOR((palma))|,IIIMINICIOR,,,Military Camp
16434,16434,Dressel 20,Colchester,Colchester,51.883333,0.9,|IIIMI*/ICIOR|,IIIMIICIOR,,Arva,Military Camp
16475,16475,Dressel 20,Colchester,Colchester,51.883333,0.9,"PNN, sine imagine",PNN,,Alcolea del Río,Military Camp
16475,16475,Dressel 20,Colchester,Colchester,51.883333,0.9,"PNN, sine imagine",PNN,,Arva,Military Camp
16475,16475,Dressel 20,Colchester,Colchester,51.883333,0.9,"PNN, sine imagine",PNN,,El Tejarillo,Military Camp
16475,16475,Dressel 20,Colchester,Colchester,51.883333,0.9,"PNN, sine imagine",PNN,,Tostoneras,Military Camp
16477,16477,Dressel 20,Colchester,Colchester,51.883333,0.9,|PNN,PNN,,Alcolea del Río,Military Camp
16477,16477,Dressel 20,Colchester,Colchester,51.883333,0.9,|PNN,PNN,,Arva,Military Camp
16477,16477,Dressel 20,Colchester,Colchester,51.883333,0.9,|PNN,PNN,,El Tejarillo,Military Camp
16477,16477,Dressel 20,Colchester,Colchester,51.883333,0.9,|PNN,PNN,,Tostoneras,Military Camp
16481,16481,Dressel 20,Colchester,Colchester,51.883333,0.9,[P·N+,PN...,,,Military Camp
16482,16482,Dressel 20,Colchester,Colchester,51.883333,0.9,[P]NN((palma))|,PNN,,Alcolea del Río,Military Camp
16482,16482,Dressel 20,Colchester,Colchester,51.883333,0.9,[P]NN((palma))|,PNN,,Arva,Military Camp
16482,16482,Dressel 20,Colchester,Colchester,51.883333,0.9,[P]NN((palma))|,PNN,,El Tejarillo,Military Camp
16482,16482,Dressel 20,Colchester,Colchester,51.883333,0.9,[P]NN((palma))|,PNN,,Tostoneras,Military Camp
16485,16485,Dressel 20,Colchester,Colchester,51.883333,0.9,|A'VPNN'[-?]|,AVPNN?,,,Military Camp
16492,16492,Dressel 20,Colchester,Colchester,51.883333,0.9,[P]NN|,PNN,,Alcolea del Río,Military Camp
16492,16492,Dressel 20,Colchester,Colchester,51.883333,0.9,[P]NN|,PNN,,Arva,Military Camp
16492,16492,Dressel 20,Colchester,Colchester,51.883333,0.9,[P]NN|,PNN,,El Tejarillo,Military Camp
16492,16492,Dressel 20,Colchester,Colchester,51.883333,0.9,[P]NN|,PNN,,Tostoneras,Military Camp
16493,16493,Dressel 20,Colchester,Colchester,51.883333,0.9,|PNN'|,PNN,,Alcolea del Río,Military Camp
16493,16493,Dressel 20,Colchester,Colchester,51.883333,0.9,|PNN'|,PNN,,Arva,Military Camp
16493,16493,Dressel 20,Colchester,Colchester,51.883333,0.9,|PNN'|,PNN,,El Tejarillo,Military Camp
16493,16493,Dressel 20,Colchester,Colchester,51.883333,0.9,|PNN'|,PNN,,Tostoneras,Military Camp
16494,16494,Dressel 20,Colchester,Colchester,51.883333,0.9,|PN[N],PNN...,,Alcolea del Río,Military Camp
16494,16494,Dressel 20,Colchester,Colchester,51.883333,0.9,|PN[N],PNN...,,Arva,Military Camp
16494,16494,Dressel 20,Colchester,Colchester,51.883333,0.9,|PN[N],PNN...,,El Tejarillo,Military Camp
16494,16494,Dressel 20,Colchester,Colchester,51.883333,0.9,|PN[N],PNN...,,Tostoneras,Military Camp
16519,16519,Dressel 20,Colchester,Colchester,51.883333,0.9,"PNZI, sine imagine",PNZI,,,Military Camp
16556,16556,Dressel 20,Colchester,Colchester,51.883333,0.9,|D'OMS|,DOMS,,Alcolea del Río,Military Camp
16575,16575,Dressel 20,Colchester,Colchester,51.883333,0.9,"POROCODV, sine imagine",POROCODV,,La Catria,Military Camp
16587,16587,Dressel 20,Colchester,Colchester,51.883333,0.9,|CP+,CP...,,,Military Camp
16588,16588,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·PAE'*|CPC((palma))|,CPC,,,Military Camp
16603,16603,Dressel 20,Colchester,Colchester,51.883333,0.9,|LP·M·S|,LPMS,,Haza del Olivo,Military Camp
16622,16622,Dressel 20,Colchester,Colchester,51.883333,0.9,"PATERNI, sine imagine",PATERNI,,,Military Camp
16623,16623,Dressel 20,Colchester,Colchester,51.883333,0.9,|FPATERNI'|,FPATERNI,,Guadajoz,Military Camp
16626,16626,Dressel 20,Colchester,Colchester,51.883333,0.9,|PONTIC|,PONTIC,,,Military Camp
16630,16630,Dressel 20,Colchester,Colchester,51.883333,0.9,"POP, sine imagine",POP,,,Military Camp
16632,16632,Dressel 20,Colchester,Colchester,51.883333,0.9,|POR|,POR,,,Military Camp
16657,16657,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·Q'·S'|,LQS,,Alcolea del Río,Military Camp
16658,16658,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·Q·S|,LQS,,Alcolea del Río,Military Camp
16659,16659,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·Q·S|,LQS,,Alcolea del Río,Military Camp
16675,16675,Dressel 20,Colchester,Colchester,51.883333,0.9,|·lQs|,LQS,,Alcolea del Río,Military Camp
16676,16676,Dressel 20,Colchester,Colchester,51.883333,0.9,+Q·S|,...QS,,,Military Camp
16677,16677,Dressel 20,Colchester,Colchester,51.883333,0.9,|PQSF''|,PQSF,,,Military Camp
16679,16679,Dressel 20,Colchester,Colchester,51.883333,0.9,|QVINT'I|,QVINTI,,,Military Camp
16710,16710,Dressel 20,Colchester,Colchester,51.883333,0.9,|ROM+,ROM...,,,Military Camp
16729,16729,Dressel 20,Colchester,Colchester,51.883333,0.9,|PORPSA'',PORPSA,,La Catria,Military Camp
16731,16731,Dressel 20,Colchester,Colchester,51.883333,0.9,"QS, sine imagine",QS,,,Military Camp
16732,16732,Dressel 20,Colchester,Colchester,51.883333,0.9,"QS, sine imagine",QS,,,Military Camp
16737,16737,Dressel 20,Colchester,Colchester,51.883333,0.9,|P[·]S·V[^I^T^I],PSAVITI,,Las Delicias,Military Camp
16743,16743,Dressel 20,Colchester,Colchester,51.883333,0.9,|PSA^V,PSAV,,,Military Camp
16748,16748,Dressel 20,Colchester,Colchester,51.883333,0.9,|P·S·+,PS...,,,Military Camp
16750,16750,Dressel 20,Colchester,Colchester,51.883333,0.9,|P·S·A^V^I,PSAVI,,,Military Camp
16751,16751,Dressel 20,Colchester,Colchester,51.883333,0.9,|ISCA^LLIF|,ISCALLIF,,Villar de Brenes,Military Camp
16752,16752,Dressel 20,Colchester,Colchester,51.883333,0.9,"Q·S·D, sine imagine",QSD,,,Military Camp
16782,16782,Dressel 20,Colchester,Colchester,51.883333,0.9,+·PYR''|,...PYR,,,Military Camp
16786,16786,Dressel 20,Colchester,Colchester,51.883333,0.9,"QSP, sine imagine",QSP,,,Military Camp
16791,16791,Dressel 20,Colchester,Colchester,51.883333,0.9,|Q·S·+,QS...,,,Military Camp
16792,16792,Dressel 20,Colchester,Colchester,51.883333,0.9,|Q·S·+,QS...,,,Military Camp
16813,16813,Dressel 20,Colchester,Colchester,51.883333,0.9,E'V'SAN^IANES|,EVSAENIANES,,,Military Camp
16817,16817,Dressel 20,Colchester,Colchester,51.883333,0.9,"SAENIANES, sine imagine",SAENIANES,,,Military Camp
16832,16832,Dressel 20,Colchester,Colchester,51.883333,0.9,"SATVRNINI, sine imagine",SATVRNINI,,,Military Camp
16833,16833,Dressel 20,Colchester,Colchester,51.883333,0.9,"SATVRNINI, sine imagine",SATVRNINI,,,Military Camp
16842,16842,Dressel 20,Colchester,Colchester,51.883333,0.9,|SA^T^V^RNINI|,SATVRNINI,,,Military Camp
16843,16843,Dressel 20,Colchester,Colchester,51.883333,0.9,|SA^T^V^RNINI|,SATVRNINI,,,Military Camp
16844,16844,Dressel 20,Colchester,Colchester,51.883333,0.9,|SA^T^V^RNINI|,SATVRNINI,,,Military Camp
16846,16846,Dressel 20,Colchester,Colchester,51.883333,0.9,|SA^T^V''^RNI|,SATVRNI,,,Military Camp
16848,16848,Dressel 20,Colchester,Colchester,51.883333,0.9,|SA^T^VN[I],SATVRNI,,,Military Camp
16864,16864,Dressel 20,Colchester,Colchester,51.883333,0.9,|SA^X·FER|,SAXFER,,,Military Camp
16905,16905,Dressel 20,Colchester,Colchester,51.883333,0.9,[F]SCIMN^IA^NI|,FSCIMNIANO,,Las Delicias,Military Camp
16925,16925,Dressel 20,Colchester,Colchester,51.883333,0.9,|F'SC[IM]/|NIA'N'[O],FSCIMNIANO,,Las Delicias,Military Camp
16941,16941,Dressel 20,Colchester,Colchester,51.883333,0.9,|LS^ELS^EN·C,LSELSENC,,La Rambla y El Acebuchal,Military Camp
16945,16945,Dressel 20,Colchester,Colchester,51.883333,0.9,C'SE[M]POLY|,CSEMPOLY,,,Military Camp
16946,16946,Dressel 20,Colchester,Colchester,51.883333,0.9,C·SEM^P·POLY|,CSEMPOLY,,,Military Camp
16951,16951,Dressel 20,Colchester,Colchester,51.883333,0.9,|CSEMPO,CSEMPOL,,,Military Camp
16956,16956,Dressel 20,Colchester,Colchester,51.883333,0.9,[{C·}SEM^PPOL|,CSEMPOL,,,Military Camp
16962,16962,Dressel 20,Colchester,Colchester,51.883333,0.9,|CSEM^PPO,CSEMPO,,,Military Camp
16963,16963,Dressel 20,Colchester,Colchester,51.883333,0.9,|CSEM|,CSEM,,,Military Camp
16964,16964,Dressel 20,Colchester,Colchester,51.883333,0.9,|CSE^M+,CSEM,,,Military Camp
16965,16965,Dressel 20,Colchester,Colchester,51.883333,0.9,|CSEM'[PO],CSEMPO,,,Military Camp
16966,16966,Dressel 20,Colchester,Colchester,51.883333,0.9,|CSEMPO,CSEMPO,,,Military Camp
16967,16967,Dressel 20,Colchester,Colchester,51.883333,0.9,|{C·}SEMPOL|,CSEMPOL,,,Military Camp
16968,16968,Dressel 20,Colchester,Colchester,51.883333,0.9,[CSEMP]OLPCL[YCL],CSEMPOLYCL,,,Military Camp
16969,16969,Dressel 20,Colchester,Colchester,51.883333,0.9,|CSEM[P]O[LY]C[L],CSEMPOLYCL,,,Military Camp
16970,16970,Dressel 20,Colchester,Colchester,51.883333,0.9,|POLY'L|,POLYCLI?,,,Military Camp
16975,16975,Dressel 20,Colchester,Colchester,51.883333,0.9,[CSEM]POL|,CSEMPOL,,,Military Camp
16978,16978,Dressel 20,Colchester,Colchester,51.883333,0.9,*SER|,...SER,,,Military Camp
16998,16998,Dressel 20,Colchester,Colchester,51.883333,0.9,SVR],SVR,,,Military Camp
17014,17014,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·V·A((palma))|,LVA,,Dehesa de Arriba,Military Camp
17030,17030,Dressel 20,Colchester,Colchester,51.883333,0.9,|Q'V'L'E'L'I'A'^N'^I'A'^N'^I|,QVIELANIANI?,,,Military Camp
17041,17041,Dressel 20,Colchester,Colchester,51.883333,0.9,C·V·VA|,CVVA,,Barranco del Picacho,Military Camp
17041,17041,Dressel 20,Colchester,Colchester,51.883333,0.9,C·V·VA|,CVVA,,Dehesilla,Military Camp
17041,17041,Dressel 20,Colchester,Colchester,51.883333,0.9,C·V·VA|,CVVA,,La Estrella,Military Camp
17066,17066,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·VAR^ION^I[S],LVARIONIS,,,Military Camp
17135,17135,Dressel 20,Colchester,Colchester,51.883333,0.9,"M+, sine imagine",M...,,,Military Camp
20476,20476,Dressel 20,Colchester,Colchester,51.883333,0.9,|G·A·[F],GAF,,Azanaque-Castillejo,Military Camp
20657,20657,Dressel 20,Colchester,Colchester,51.883333,0.9,|L[-]FA^XA[^T]I'|,L…FAXATI,,,Military Camp
20732,20732,Dressel 20,Colchester,Colchester,51.883333,0.9,"|SCL|, bis impressum est",SCL,,Tierras del Judío,Military Camp
25428,25428,Dressel 20,Colchester,Colchester,51.883333,0.9,|P·S·AV[^I^T^I],PSAVITI,,Las Delicias,Military Camp
25439,25439,Dressel 20,Colchester,Colchester,51.883333,0.9,|SIS'^E'N',SISEN,,La Catria,Military Camp
25449,25449,Dressel 20,Colchester,Colchester,51.883333,0.9,|TERTI|,TERTI,,,Military Camp
28104,28104,Dressel 20,Colchester,Colchester,51.883333,0.9,|LQSF|,LQSF,,,Military Camp
29365,29365,Dressel 20,Colchester,Colchester,51.883333,0.9,|L·F·S|,LFS,,Berro II,Military Camp
15397,15397,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,|C'A^pF'|,CAPF,,Castillo de Azanaque,Military Camp
15398,15398,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,|GAF|,GAF,,Azanaque-Castillejo,Military Camp
15399,15399,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,"CAFEM, sine imagine",CAFEM,,Peñaflor,Military Camp
15402,15402,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,|LAF'*,LAF,,La Catria,Military Camp
15432,15432,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,[S]ALS'|,SALS,,Arva,Military Camp
15440,15440,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,|MA[M?]| & |MA[S?]|,MAM? & MAS?,,,Military Camp
15444,15444,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,[TF]AM'V'|,TFAMV,,Mejía,Military Camp
15448,15448,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,|D'A'P|,DAP,,Peñaflor,Military Camp
15475,15475,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,PAR|,PAR,,,Military Camp
15490,15490,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,|ACIRG'[IF]| & |ACIRCI((palma))|,ACIRGIF & ACIRGI,,,Military Camp
15491,15491,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,|ACIRG'[I]|,ACIRGI,,Itálica,Military Camp
15492,15492,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,|ACIRGI((palma))|,ACIRGI,,Itálica,Military Camp
15493,15493,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,|ACIRG'I*,ACIRGI,,Itálica,Military Camp
15494,15494,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,|ACIR'G'I'[-?]|,ACIRGI,,Itálica,Military Camp
15508,15508,Dressel 20,Corbridge,Corbridge,54.966667,-2.016667,|ACIRGI|,ACIRGI,,Itálica,Military Camp
