AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,LocationTypeTitle
18137,18137,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|S^AXOFERREO|,SAXOFERREO,,Huerta de Belén,Military Camp
18139,18139,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|SNR|,SNR,,La Catria,Military Camp
18142,18142,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|V·IRAV|,VIRAV,,Villar de Brenes,Military Camp
18143,18143,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|VIRCI^N,VIRCIN,,Villar de Brenes,Military Camp
36098,36098,Dressel 20,Banasa,Banasa,34.60144,-6.115818,IFVN,IFVN,,,Military Camp
36107,36107,Dressel 20,Banasa,Banasa,34.60144,-6.115818,QC,QC...,,,Military Camp
36108,36108,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|SNR|,SNR,,La Catria,Military Camp
36109,36109,Dressel 20,Banasa,Banasa,34.60144,-6.115818,ST·+,ST...,,,Military Camp
36112,36112,Dressel 20,Banasa,Banasa,34.60144,-6.115818,VIPAV,VIPAV,,,Military Camp
36113,36113,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|VIRGI+,VIRGI,,,Military Camp
8635,8635,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"MAEMRVS, sine imagine",MAEMRVS,,Arva,Military Camp
8797,8797,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|AELFO|,AELFO,,La Catria,Military Camp
8798,8798,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|ANTH|,ANTH,,,Military Camp
8799,8799,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|BELL|,BELL,,Cortijo del Romero,Military Camp
8801,8801,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|G·A·F|,GAF,,Azanaque-Castillejo,Military Camp
8803,8803,Dressel 20,Banasa,Banasa,34.60144,-6.115818,[C·F]SAR|,CFSAR,,,Military Camp
8805,8805,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|GIA^LB|,GIALB,,Malpica,Military Camp
8806,8806,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|G·I·A^LB|,GIALB,,Malpica,Military Camp
8808,8808,Dressel 20,Banasa,Banasa,34.60144,-6.115818,[I]IC((hedera))L((hedera))M|,IICLM,,El Tejarillo,Military Camp
8811,8811,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|DA^TZCOL|,DATZCOL,,Azanaque-Castillejo,Military Camp
8813,8813,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|D·I·A|,DIA,,Berro II,Military Camp
8813,8813,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|D·I·A|,DIA,,La María,Military Camp
8818,8818,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|EVT^Y|,EVTY,,,Military Camp
8820,8820,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|F·S·F·A·F·L|,FSFAFL,,Huerta de Belén,Military Camp
8826,8826,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|L·A^T·RVS|,LATRVS,,,Military Camp
8827,8827,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|LC|,LC,,,Military Camp
8828,8828,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|LCM^Y|,LCMY,,Haza del Olivo,Military Camp
8829,8829,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|LCM^Y|,LCMY,,Haza del Olivo,Military Camp
8831,8831,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|LFCDM|,LFCDM,,Barranco del Picacho,Military Camp
8831,8831,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|LFCDM|,LFCDM,,La Estrella,Military Camp
8832,8832,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|L·H^R·R·|,LHRR,,,Military Camp
8833,8833,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|L·I·DFITALIC~A^E|,LIDFITALICAE,,,Military Camp
8837,8837,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|M·A^E^LA^L^E^X|,MAELALEX,,El Mohino,Military Camp
8838,8838,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|M^A^EA^L^EX|,MAELALEX,,El Mohino,Military Camp
8839,8839,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|M·AEME|,MAEME,,Arva,Military Camp
8840,8840,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|MAEME|,MAEME,,Arva,Military Camp
8842,8842,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|M·A^EMRVS|,MAEMRVS,,Arva,Military Camp
8843,8843,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|MA^EMRVS|,MAEMRVS,,Arva,Military Camp
8846,8846,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|M·A·R|,MAR,,Azanaque-Castillejo,Military Camp
8853,8853,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|MI·A·PC|,MIAPC,,El Marchante,Military Camp
8854,8854,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|·M'·I·A·P·S|,MIAPS,,,Military Camp
8856,8856,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|MRI((palma))|,MRI,,,Military Camp
8857,8857,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|MSF|,MSF,,,Military Camp
8862,8862,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|P^H^I^LO|,PHILO,,,Military Camp
8864,8864,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|PNN|,PNN,,Alcolea del Río,Military Camp
8864,8864,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|PNN|,PNN,,Arva,Military Camp
8864,8864,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|PNN|,PNN,,El Tejarillo,Military Camp
8864,8864,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|PNN|,PNN,,Tostoneras,Military Camp
8866,8866,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|PO·PV·LI|,POPVLI,,La Catria,Military Camp
8866,8866,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|PO·PV·LI|,POPVLI,,Los Guerras,Military Camp
8867,8867,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|POR·TO|,PORTO,,La Catria,Military Camp
8871,8871,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|Q·CR|,QCR,,Sevilla,Military Camp
8873,8873,Dressel 20,Banasa,Banasa,34.60144,-6.115818,QCR|,QCR,,Sevilla,Military Camp
8875,8875,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|Q·F·CE|,QFCE,,,Military Camp
8876,8876,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|Q·F·F|,QFF,,La Catria,Military Camp
8879,8879,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|((palma))[Q]SD^IOT^IM((palma))|,QSDIOTIM,,,Military Camp
8883,8883,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|ROM^AN^I((palma))|,ROMANI,,,Military Camp
8884,8884,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|ROMV^LI|,ROMVLI,,Arva,Military Camp
8887,8887,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|SAXOFERRI|,SAXOFERRI,,,Military Camp
8888,8888,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|sA!XOFERREO|,SAXOFERREO,,Arva,Military Camp
8888,8888,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|sA!XOFERREO|,SAXOFERREO,,Huerta de Belén,Military Camp
8892,8892,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|ST·+,ST...,,,Military Camp
8893,8893,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|TOAT^ES|,TOATES,,,Military Camp
8898,8898,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|VIRIII|,VIRIII,,Villar de Brenes,Military Camp
8900,8900,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|VIRAV|,VIRAV,,Villar de Brenes,Military Camp
8902,8902,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|VIRAV|,VIRAV,,Villar de Brenes,Military Camp
8905,8905,Dressel 20,Banasa,Banasa,34.60144,-6.115818,|AVG[[GG]]N[[NN]],AVGN,,Los Villares,Military Camp
8966,8966,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"MAR, sine imagine",MAR,,Itálica,Military Camp
8969,8969,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"PS+, sine imagine",PS...,,,Military Camp
8970,8970,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"QCR, sine imagine",QCR,,Sevilla,Military Camp
8971,8971,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"QCR, sine imagine",QCR,,Sevilla,Military Camp
8972,8972,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"QCR, sine imagine",QCR,,Sevilla,Military Camp
8973,8973,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"VIRGI, sine imagine",VIRGI,,,Military Camp
8994,8994,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"ROMV, sine imagine",ROMV,,,Military Camp
9107,9107,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"MAEMRVS, sine imagine",MAEMRVS,,Arva,Military Camp
9108,9108,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"MIAPC, sine imagine",MIAPC,,El Marchante,Military Camp
9109,9109,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"SAR, sine imagine",SAR,,,Military Camp
9110,9110,Dressel 20,Banasa,Banasa,34.60144,-6.115818,"QSF, sine imagine",QSF,,Azanaque-Castillejo,Military Camp
15814,15814,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,M^M^ACS^V+,MMCSV...,,Alcolea del Río,Military Camp
15814,15814,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,M^M^ACS^V+,MMCSV...,,El Tejarillo,Military Camp
16450,16450,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|GNAPCO''|,GNAPCO,,,Military Camp
