id,lat,long,type,site,code,country,locationtype
14182,47.927438,8.490334,Dressel 20,Hüfingen,LCM,Germany,Military Camp
14986,50.353573,7.578835,Dressel 20,Koblenz,VIRGIN,Germany,Military Camp
13939,50.933333,6.95,Dressel 20,Köln,MAC,Germany,Military Camp
13975,50.933333,6.95,Dressel 20,Köln,MAR,Germany,Military Camp
14015,50.933333,6.95,Dressel 20,Köln,CANTONIQVIETIPALMA,Germany,Military Camp
14026,50.933333,6.95,Dressel 20,Köln,CANTONIQVIETI,Germany,Military Camp
14065,50.933333,6.95,Dressel 20,Köln,LAVRGER,Germany,Military Camp
14070,50.933333,6.95,Dressel 20,Köln,ACIRGI,Germany,Military Camp
14076,50.933333,6.95,Dressel 20,Köln,ACIRGIF,Germany,Military Camp
14119,50.933333,6.95,Dressel 20,Köln,BVCCI,Germany,Military Camp
14140,50.933333,6.95,Dressel 20,Köln,QCCL,Germany,Military Camp
14144,50.933333,6.95,Dressel 20,Köln,QCCL,Germany,Military Camp
14215,50.933333,6.95,Dressel 20,Köln,QCAESINIGRI,Germany,Military Camp
14218,50.933333,6.95,Dressel 20,Köln,IICAMILIMELISSI,Germany,Military Camp
14234,50.933333,6.95,Dressel 20,Köln,CALPC,Germany,Military Camp
14286,50.933333,6.95,Dressel 20,Köln,LFCCOL,Germany,Military Camp
14302,50.933333,6.95,Dressel 20,Köln,LFCCVFCM,Germany,Military Camp
14313,50.933333,6.95,Dressel 20,Köln,LFCCVFSCAL,Germany,Military Camp
14326,50.933333,6.95,Dressel 20,Köln,QFC,Germany,Military Camp
14346,50.933333,6.95,Dressel 20,Köln,DFF,Germany,Military Camp
14346,50.933333,6.95,Dressel 20,Köln,PNN,Germany,Military Camp
14392,50.933333,6.95,Dressel 20,Köln,FELICIS,Germany,Military Camp
14393,50.933333,6.95,Dressel 20,Köln,PHILEROTI,Germany,Military Camp
14476,50.933333,6.95,Dressel 20,Köln,MIMOPSI,Germany,Military Camp
14513,50.933333,6.95,Dressel 20,Köln,PIRP,Germany,Military Camp
14518,50.933333,6.95,Dressel 20,Köln,SISEN,Germany,Military Camp
14563,50.933333,6.95,Dressel 20,Köln,LHEDERAIHEDERAMELISSIHEDERACI,Germany,Military Camp
14573,50.933333,6.95,Dressel 20,Köln,IIIVNIMELISSIETMELISSEHEDERA,Germany,Military Camp
14576,50.933333,6.95,Dressel 20,Köln,IIIVNIMELISSIETMELISSE,Germany,Military Camp
14609,50.933333,6.95,Dressel 20,Köln,IICLLM,Germany,Military Camp
14615,50.933333,6.95,Dressel 20,Köln,CMM,Germany,Military Camp
14686,50.933333,6.95,Dressel 20,Köln,PNNF,Germany,Military Camp
14710,50.933333,6.95,Dressel 20,Köln,DOMS,Germany,Military Camp
14735,50.933333,6.95,Dressel 20,Köln,POROCODV,Germany,Military Camp
14746,50.933333,6.95,Dressel 20,Köln,APC,Germany,Military Camp
14767,50.933333,6.95,Dressel 20,Köln,LPMS,Germany,Military Camp
14835,50.933333,6.95,Dressel 20,Köln,RIVES,Germany,Military Camp
14843,50.933333,6.95,Dressel 20,Köln,PSA,Germany,Military Camp
14850,50.933333,6.95,Dressel 20,Köln,PORPSAPORPSV,Germany,Military Camp
