AreaTitle	AmphoraIdentifier	AmphoricTypeTitle	SimplifiedTranscription	FullTranscription	FindingPlaceLongitude	FindingPlaceLatitude	FindingPlaceTitle	CountryTitle
Lora del Río	6819	Dressel 20	POQHEHE	"POQHEHE, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6821	Dressel 20	MIM	|MIM|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6822	Dressel 20	MIM	|MIM|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6823	Dressel 20	MIM	|MIM|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6824	Dressel 20	MIM	|MIM|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6825	Dressel 20	MIM	|MIM|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6826	Dressel 20	MIM	|MI'M|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6827	Dressel 20	MIM	|MIM|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6828	Dressel 20	MIM	|MI'M|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6829	Dressel 20	MIM	"MIM, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6830	Dressel 20	MIM	M'I·M|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6831	Dressel 20	MIM	|M·I·M|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6832	Dressel 20	MIM	"MIM, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6833	Dressel 20	MIM	"MIM, sine imagine"	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6834	Dressel 20	MIM	|M·I·M|	-5.508532365550413	37.66991047726858	La Catria	Spain
Lora del Río	6835	Dressel 20	MIM	M'·I·M|	-5.508532365550413	37.66991047726858	La Catria	Spain
