id;lat;long;type;site;code;name
33864;11.250000000000000;42.500000000000000;Dressel 1C;Albinia;DAS;Italia
6052;2.973910000000000;43.405427000000003;Pascual 1;Cébazan;MPORCI;Narbonensis
27867;8.166667000000000;49.833333000000003;Dressel 20;Rheinhessen;LIDFIT;Germania Superior
32632;12.488056000000000;45.780000000000001;Dressel 6B;Oderzo;CLAEK;Italia
20812;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;DD;Lugdunensis
9106;-5.557032000000000;34.073697000000003;Amphora incerta;Volubilis;CENNIHISPANI;Mauretania Tingitana
23765;-0.751789000000000;37.802242000000000;Lamboglia 2;San Pedro;TRE;Tarraconensis
34790;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;APOLLONIDES;Italia
24101;-0.706103000000000;38.264986999999998;Amphora incerta;Elche;TITEL;Tarraconensis
37397;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;STABVA;Italia
16326;-0.093145000000000;51.514248000000002;Dressel 20;London;CLPV;Britannia
17104;-2.333333000000000;50.750000000000000;Dressel 20;Dorset;VRITTIMA;Britannia
28030;2.195146000000000;46.562193999999998;Dressel 20;Châteaumeillant;DOM;Aquitania
38076;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;VEHIL;Italia
20966;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;S;Lugdunensis
39226;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;APOLONI;Italia
7546;7.717205000000000;47.536817999999997;Dressel 20;Augst;PMANISVP;Germania Superior
21222;19.083333000000000;47.500000000000000;Dressel 6;Budapest;MCA;Pannonia Inferior
12581;4.141960000000000;39.934562999999997;Pascual 1;Alayor;PRI;Tarraconensis
8754;2.667809000000000;41.618023999999998;Amphora incerta;Calella;ANDIAVDI;Tarraconensis
14144;6.950000000000000;50.933332999999998;Dressel 20;Köln;QCCL;Germania Inferior
24862;4.873453000000000;45.524785000000001;Dressel 20;Vienne;SAENIANES;Narbonensis
6154;3.904604000000000;43.567521999999997;Dressel 1;Lattes;DION;Narbonensis
27064;-1.549654000000000;47.181441000000000;Amphora incerta;Rezé;R;Aquitania
4714;12.283333000000001;41.750000000000000;Dressel 2-4 Catalan;Ostia Antica;TPIM;Italia
32744;-2.016667000000000;54.966667000000001;Dressel 20;Corbridge;EXEGYYYMAS;Britannia
21579;-0.706103000000000;38.264986999999998;Greco-Itálica;Elche;DP;Tarraconensis
40705;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;POSIDONIO;Italia
17087;-2.016667000000000;54.966667000000001;Dressel 20;Corbridge;VIRGINENSIA;Britannia
19274;2.444503000000000;41.542113000000001;Dressel 2-4 Catalan;Mataró;SEC;Tarraconensis
18872;8.608962000000000;49.473070999999997;Dressel 20;Ladenburg (Lopodunum);BEL;Germania Superior
10352;4.141960000000000;39.934562999999997;Amphora incerta;Alayor;DD;Tarraconensis
8417;3.449751000000000;43.565809000000002;Pascual 1 similis;"Aspiran,Herault";LAETI;Narbonensis
16001;-0.600000000000000;53.649999999999999;Dressel 20;Winterton;FFC;Britannia
10729;3.008816000000000;43.184417000000003;Pascual 1;Narbonne;SIGNUM;Narbonensis
5284;3.104371000000000;42.517594000000003;Dressel 20;Port-Vendres;QSCR;Narbonensis
13892;1.433188000000000;43.599516000000001;Dressel 20;Toulouse;SQ;Narbonensis
24051;-0.950000000000000;37.566667000000002;Dressel 20;Cartagena;T;Tarraconensis
35279;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;LVCAON;Italia
17177;-0.083333000000000;51.500000000000000;Dressel 20;Southwark;ANO;Britannia
9444;6.148113000000000;46.195602000000001;Dressel 20;Genève;QCOCL;Narbonensis
27192;2.949407000000000;39.144609000000003;Almagro 50;Isla de Cabrera;ANGE;Tarraconensis
4747;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;LVCCO;Italia
12881;-5.082599000000000;37.542203000000001;Dressel 20;Écija;FELICIS;Baetica
35406;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;MENOPHIL;Italia
14123;8.279095999999999;49.984188000000003;Dressel 20;Mainz;LCANT;Germania Superior
14553;7.450716000000000;50.417186999999998;Dressel 20;Weißenthurm;CIVNREBVRI;Germania Superior
16722;-2.883333000000000;53.066667000000002;Dressel 20;Holt;RRVS;Britannia
20869;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;L;Lugdunensis
38067;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;CVEILI;Italia
40616;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;PERDICAS;Italia
23856;4.485950000000000;47.537854000000003;Dressel 20;Alise-Sainte-Reine;PONTICI;Lugdunensis
21442;0.340204000000000;44.298934000000003;Dressel 20;Aiguillon;ROMANI;Aquitania
36053;-6.041843000000000;37.433953000000002;Amphora incerta;Santiponce;PSAVITI;Baetica
34797;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;APOLLONIDES;Italia
40536;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;MENOPILVS;Italia
8413;3.449751000000000;43.565809000000002;Pascual 1 similis;"Aspiran,Herault";LAETI;Narbonensis
8741;2.667809000000000;41.618023999999998;Amphora incerta;Calella;CIBA;Tarraconensis
37622;-6.494247000000000;34.334283999999997;Dressel 20;Sidi Ali ben ahmed (Thamusida);PORTARVA;Mauretania Tingitana
