id;lat;long;type;site;code;name
13562;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
7031;-5.52751;37.658961;Dressel 20;Lora del Río;POPVLI;Baetica
877;-5.233333;37.833333;Dressel 20 parva;Hornachuelos;LFF;Baetica
13013;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
26698;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
21234;-5.34504;37.708919;Dressel 20;Peñaflor;ELPL;Baetica
11331;-5.281208;37.700239;Dressel 20;Palma del Río;AVRELIHERACLAE;Baetica
33326;-5.52751;37.658961;Dressel 20;Lora del Río;CON;Baetica
11258;-5.082599;37.542203;Dressel 20;Écija;ONES;Baetica
17504;-5.666942;37.615058;Dressel 20;Alcolea del Río;LVPATI;Baetica
11214;-5.52751;37.658961;Dressel 20;Lora del Río;VPC;Baetica
886;-5.233333;37.833333;Dressel 20;Hornachuelos;LFLVC;Baetica
11284;-5.52751;37.658961;Dressel 20;Lora del Río;QSERV;Baetica
28098;-5.666942;37.615058;Dressel 20;Alcolea del Río;LQS;Baetica
11126;-5.52751;37.658961;Dressel 20;Lora del Río;PRTO;Baetica
13564;-5.666942;37.615058;Dressel 20;Alcolea del Río;DFN;Baetica
33334;-5.52751;37.658961;Dressel 20;Lora del Río;GA;Baetica
12532;-6.041843;37.433953;Dressel 20;Santiponce;ILFT;Baetica
13258;-5.02037;37.810702;Dressel 20;Almodóvar del Río;CIVLIBAR;Baetica
7136;-5.52751;37.658961;Dressel 20;Lora del Río;MOPSVR;Baetica
33362;-5.52751;37.658961;Dressel 20;Lora del Río;VICT;Baetica
12439;-5.281208;37.700239;Dressel 20;Palma del Río;LEP;Baetica
38864;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
26723;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
13003;-5.666942;37.615058;Dressel 20;Alcolea del Río;LGG;Baetica
26641;-5.233333;37.833333;Dressel 20;Hornachuelos;CANTONIQVIETI;Baetica
28084;-5.666942;37.615058;Dressel 20;Alcolea del Río;LQS;Baetica
