,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,,,,,,
,14541,Dressel 20,Baden-Baden,,48.757631,8.242458,"CIVR, sine imagine",CIVR,,,,,,,
,14832,Dressel 20,Baden-Baden,,48.757631,8.242458,|CRKAL|,CRKAL,,,,,,,
,14410,Dressel 20,Bad Kreuznach,,49.841396,7.867127,|HISPSA^E+,HISPSAE,,,,,,,
,27906,Dressel 20,Bad Kreuznach,,49.841396,7.867127,|IICAMILI/|MELISSI,IICAMILIMELISSI,,,,,,,
,27906,Dressel 20,Bad Kreuznach,,49.841396,7.867127,|IICAMILI/|MELISSI,IICAMILIMELISSI,,,,,,,
,27907,Dressel 20,Bad Kreuznach,,49.841396,7.867127,|LFCFP|,LFCFP,,,,,,,
,11976,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|AC[IR]G'I|,ACIRGI,,,,,,,
,11985,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|Q'·{V^I·}A|,QVIA?,,,,,,,
,12002,Dressel 20,Bad Wimpfen,,49.229708,9.156485,[P]NNSH|,PNNSH,,,,,,,
,12009,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|M'VL|,MVL,,,,,,,
,13970,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|L·A*,LA...,,,,,,,
,13981,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|CAS|,CAS...,,,,,,,
,14090,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|AC'I/|RCI,ACIRGI,,,,,,,
,14291,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|LFCCVCA[T],LFCCVCAT,,,,,,,
,14291,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|LFCCVCA[T],LFCCVCAT,,,,,,,
,14312,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|L'·F'CCVF[S],LFCCVFS,,,,,,,
,14312,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|L'·F'CCVF[S],LFCCVFS,,,,,,,
,14418,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|Q((hedera))I((hedera))A|,QIA,,,,,,,
,14436,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|QIAFS^F|,QIAFSF,,,,,,,
,14529,Dressel 20,Bad Wimpfen,,49.229708,9.156485,L'·I'[T],LIT,,,,,,,
,14626,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|Q·M·M·CER|,QMMCER,,,,,,,
,14640,Dressel 20,Bad Wimpfen,,49.229708,9.156485,|QMR|,QMR,,,,,,,
,14739,Dressel 20,Bad Wimpfen,,49.229708,9.156485,P'OROD'[V],POROCODV? (BOROCODV?),,,,,,,
,20658,Dressel 20,Bad Wimpfen,,49.229708,9.156485,[L]FCCVCA'[T],LFCCVCAT,,,,,,,
,20658,Dressel 20,Bad Wimpfen,,49.229708,9.156485,[L]FCCVCA'[T],LFCCVCAT,,,,,,,
,13952,Dressel 20,Benningen,,47.968555,10.21178,|CAFSM| & |CAFFM|,CAFSM & CAFFM,,,,,,,
,14589,Dressel 20,Bingen,,49.966747,7.899198,"IIIVNMELISSIETMELISSE, sine imagine",IIIVNMELISSIETMELISSE,,,,,,,
,14794,Dressel 20,Bingen,,49.966747,7.899198,"MQFF, sine imagine",MQFF,,,,,,,
,14937,Dressel 20,Bingen,,49.966747,7.899198,"FSCIMNIANO, sine imagine",FSCIMNIANO,,,,,,,
,14237,Dressel 20,Bingerbrück,,49.966116,7.88476,"CALPVRNI, sine imagine",CALPVRNI,,,,,,,
,14038,Dressel 20,Bonn,,50.73438,7.095485,"CANTQVIETI, sine imagine",CANTQVIETI,,,,,,,
,14073,Dressel 20,Bonn,,50.73438,7.095485,"ACIRGIF, sine imagine",ACIRGIF,,,,,,,
,14088,Dressel 20,Bonn,,50.73438,7.095485,"ACIRGI, sine imagine",ACIRGI,,,,,,,
,14099,Dressel 20,Bonn,,50.73438,7.095485,|AGRI{CO}LA^E|,AGRICOLAE,,,,,,,
,14220,Dressel 20,Bonn,,50.73438,7.095485,"IICAMILIMELISSI, sine imagine",IICAMILIMELISSI,,,,,,,
,14220,Dressel 20,Bonn,,50.73438,7.095485,"IICAMILIMELISSI, sine imagine",IICAMILIMELISSI,,,,,,,
,14233,Dressel 20,Bonn,,50.73438,7.095485,"CCRASSISAI, sine imagine",CCRASSISAI,,,,,,,
,14248,Dressel 20,Bonn,,50.73438,7.095485,"CEFP, sine imagine",CEFP,,,,,,,
,14303,Dressel 20,Bonn,,50.73438,7.095485,"LFCCVFCM, sine imagine",LFCCVFCM,,,,,,,
,14349,Dressel 20,Bonn,,50.73438,7.095485,"DFF, sine imagine",DFF,,,,,,,
,14349,Dressel 20,Bonn,,50.73438,7.095485,"DFF, sine imagine",DFF,,,,,,,
,14449,Dressel 20,Bonn,,50.73438,7.095485,"CIALB, sine imagine",CIALB,,,,,,,
,14565,Dressel 20,Bonn,,50.73438,7.095485,"LIVNIMELISSI, sine imagine",LIVNIMELISSI,,,,,,,
,14584,Dressel 20,Bonn,,50.73438,7.095485,"IIIVNMELISSIETMELISSE, sine imagine",IIIVNMELISSIETMELISSE,,,,,,,
