AreaTitle,AmphoraIdentifier,AmphoricTypeTitle,SimplifiedTranscription,FullTranscription,FindingPlaceLongitude,FindingPlaceLatitude,FindingPlaceTitle,ProductionPlaceTitle,ProductionPlaceLatitude,ProductionPlaceLongitude,CountryTitle,,,,
Bad Cannstatt,14210,Dressel 20,MMCSANTO?,[M]M''C·S·A^N^T^O|,9.241809,48.805827,Sttutgart-Bad Cannstatt,El Tejarillo,37.61618,-5.644928,Germany,,,,
Bad Cannstatt,14256,Dressel 20,IIIENNIIVL,"IIIENNIIVL, sine imagine",9.241809,48.805827,"1897, an dem Altenburger Feld",huerta del río,37.660348,-5.507948,Germany,,,,
Bad Cannstatt,14294,Dressel 20,LFCCV?,"LFFCV, sine imagine",9.241809,48.805827,Bad Cannstatt,Dehesilla,37.769188,-5.112333,Germany,,,,
Bad Cannstatt,14298,Dressel 20,LFCCVFC,|LFCCVFC|,9.241809,48.805827,Bad Cannstatt,,,,Germany,,,,
Bad Cannstatt,14378,Dressel 20,MFS,|M·F!S'|,9.241809,48.805827,Sttutgart-Bad Cannstatt,Alcotrista,37.614189,-5.115609,Germany,,,,
Bad Cannstatt,14500,Dressel 20,QIMFS?,[QI]M·F!S!|,9.241809,48.805827,Sttutgart-Bad Cannstatt,,,,Germany,,,,
Bad Cannstatt,14520,Dressel 20,LIT,|L·I·T|,9.241809,48.805827,Sttutgart-Bad Cannstatt,,,,Germany,,,,
Bad Cannstatt,14598,Dressel 20,ALFO & ALFQ,|A·L·F·O|,9.241809,48.805827,Sttutgart-Bad Cannstatt,La Catria,37.648779,-5.506146,Germany,,,,
Bad Cannstatt,14674,Dressel 20,QNDAND,|QNDAND,9.241809,48.805827,Sttutgart-Bad Cannstatt,,,,Germany,,,,
Bad Cannstatt,14714,Dressel 20,DOMS,|DOMS|,9.241809,48.805827,Grube 9,Alcolea del Río,37.615812,-5.668155,Germany,,,,
Bad Cannstatt,14750,Dressel 20,APCO & APQCO,|AP((amphora))CO| & |AP((amphora))[Q]CO|,9.241809,48.805827,Stuttgart-Bad Cannstatt,La María,37.674854,-5.451432,Germany,,,,
Bad Cannstatt,14774,Dressel 20,QPPHRYX,[QPP]H^RYX|,9.241809,48.805827,auf dem Acker beim Judenfriedhof.,,,,Germany,,,,
Bad Cannstatt,14804,Dressel 20,LQS,|L·Q·S|,9.241809,48.805827,Bad Cannstatt,Alcolea del Río,37.615812,-5.668155,Germany,,,,
Bad Cannstatt,14823,Dressel 20,MQSR,|MQSR|,9.241809,48.805827,Stuttgart-Bad Cannstatt,,,,Germany,,,,
Bad Cannstatt,14915,Dressel 20,SAXOFERRI,|SAXOF'[ERRI],9.241809,48.805827,Stuttgart-Bad Cannstatt,,,,Germany,,,,
Bad Cannstatt,14993,Dressel 20,VIRAV,"VIRAV, sine imagine",9.241809,48.805827,Bad Cannstatt,Villar de Brenes,37.536615,-5.900952,Germany,,,,
Bad Ems,14003,Dressel 20,MAEMRVS,"MAEMRVS, sine imagine",7.717548,50.332737,Kastel Ems,Arva,37.623647,-5.604665,Germany,,,,
Bad Ems,14258,Dressel 20,IIIENNIIVL,|IIIENN^IIV^L((corona))|,7.717548,50.332737,Grube bei der Elementarshule,huerta del río,37.660348,-5.507948,Germany,,,,
Bad Ems,14492,Dressel 20,QIIMFN,|QIIM!Fn|,7.717548,50.332737,Kastel Ems,,,,Germany,,,,
Bad Ems,14813,Dressel 20,LQS,"LQS, sine imagine",7.717548,50.332737,Kastel Ems,Alcolea del Río,37.615812,-5.668155,Germany,,,,
Bad Ems,14818,Dressel 20,LQSK,|LQSK|,7.717548,50.332737,Kastel Ems,Alcolea del Río,37.615812,-5.668155,Germany,,,,
Baden-Baden,14541,Dressel 20,CIVR,"CIVR, sine imagine",8.242458,48.757631,Baden-Baden,,,,Germany,,,,
Baden-Baden,14832,Dressel 20,CRKAL,|CRKAL|,8.242458,48.757631,Lange Strasse (Alte Hofapotheke),La Catria,37.648779,-5.506146,Germany,,,,
Bad Kreuznach,14410,Dressel 20,HISPSAE,|HISPSA^E+,7.867127,49.841396,Bad Kreuznach,,,,Germany,,,,
Bad Kreuznach,27906,Dressel 20,IICAMILIMELISSI,|IICAMILI/|MELISSI,7.867127,49.841396,Villa,Arva,37.623647,-5.604665,Germany,,,,
Bad Kreuznach,27906,Dressel 20,IICAMILIMELISSI,|IICAMILI/|MELISSI,7.867127,49.841396,Villa,Las Delicias,37.585951,-5.088429,Germany,,,,
Bad Kreuznach,27907,Dressel 20,LFCFP,|LFCFP|,7.867127,49.841396,Villa,Las Monjas,37.697099,-5.262004,Germany,,,,
Bad Wimpfen,11976,Dressel 20,ACIRGI,|AC[IR]G'I|,9.156485,49.229708,aus dem Abgang des Steinkellers Nr.2736 A,Itálica,37.441422,-6.044948,Germany,,,,
Bad Wimpfen,11985,Dressel 20,QVIA?,|Q'·{V^I·}A|,9.156485,49.229708,"Fläche 7105-77, Planum 1-2, Fund-Nr.4471",,,,Germany,,,,
